produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;data_inicial_final_semana;semana;dsc_nivel_comercializacao;valor_produto_kg
02-20-18                 ;NÃO INFORMADO       ;14915;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,95
02-20-18                 ;NÃO INFORMADO       ;14915;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,95
02-20-18                 ;NÃO INFORMADO       ;14915;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,95
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;CAMPO MOURÃO-PR                                   ;4104303                       ;PR        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,36
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,02
02-23-23                 ;NÃO INFORMADO       ;11824;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,87
02-23-23                 ;NÃO INFORMADO       ;11824;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,87
02-23-23                 ;NÃO INFORMADO       ;11824;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,87
02-23-23                 ;NÃO INFORMADO       ;11824;CRUZ ALTA-RS                                      ;4306106                       ;RS        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,87
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;3,0
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;3,0
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;3,0
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;3,0
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;SÃO GABRIEL-RS                                    ;4318309                       ;RS        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,18
02-28-16                 ;NÃO INFORMADO       ;13762;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE             ;2025;12;01-12-2025 - 05-12-2025  ;1;PREÇO PAGO PELO PROD;3,12
02-28-20                 ;NÃO INFORMADO       ;12700;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;GUARAPUAVA-PR                                     ;4109401                       ;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,7
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;4,04
03-30-15                 ;NÃO INFORMADO       ;4479;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,89
04-14-07                 ;NÃO INFORMADO       ;13001;DOMINGOS MARTINS-ES                               ;3201902                       ;ES        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;DOMINGOS MARTINS-ES                               ;3201902                       ;ES        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;DOMINGOS MARTINS-ES                               ;3201902                       ;ES        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;DOMINGOS MARTINS-ES                               ;3201902                       ;ES        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL                      ;2025;8;04-08-2025 - 08-08-2025  ;1;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL                      ;2025;8;18-08-2025 - 22-08-2025  ;3;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL                      ;2025;8;25-08-2025 - 29-08-2025  ;4;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL                      ;2025;8;11-08-2025 - 15-08-2025  ;2;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BUENO BRANDÃO-MG                                  ;3109105                       ;MG        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;BUENO BRANDÃO-MG                                  ;3109105                       ;MG        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;BUENO BRANDÃO-MG                                  ;3109105                       ;MG        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;BUENO BRANDÃO-MG                                  ;3109105                       ;MG        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;SÃO JOSÉ DE UBÁ-RJ                                ;3305133                       ;RJ        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;CONTENDA-PR                                       ;4106209                       ;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;CONTENDA-PR                                       ;4106209                       ;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;CONTENDA-PR                                       ;4106209                       ;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;CONTENDA-PR                                       ;4106209                       ;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;10;13-10-2025 - 17-10-2025  ;3;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;10;20-10-2025 - 24-10-2025  ;4;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;10;06-10-2025 - 10-10-2025  ;2;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;10;29-09-2025 - 03-10-2025  ;1;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2025;10;27-10-2025 - 31-10-2025  ;5;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;CRUZ DAS ALMAS-BA                                 ;2909802                       ;BA        ;NORDESTE                 ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,8
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2026;2;23-02-2026 - 27-02-2026  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2026;2;02-02-2026 - 06-02-2026  ;1;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2026;2;09-02-2026 - 13-02-2026  ;2;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2026;2;16-02-2026 - 20-02-2026  ;3;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE                    ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;
