coluna,descricao,unidade,fonte,granularidade_nativa,pct_nulos,observacao
ipca_var_pao_frances,variação % no mês do subitem 1112015 (pao frances),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_oleo_soja,variação % no mês do subitem 1113013 (oleo soja),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_cafe_moido,variação % no mês do subitem 1114022 (cafe moido),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_alimentacao_acum12,"variação acumulada em 12 meses do grupo Alimentação e bebidas, composta",%,IBGE/SIDRA,UF × mês,1.58,"Os 12 primeiros meses de cada UF não têm acumulado em 12 meses; AC, MA e SE só entram na amostra do IPCA em 2018-05."
clima_chuva_mm_mes,acumulado de chuva do mês (mediana entre estações); mediana das estações da UF,mm,INMET,estação × mês,0.34,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_temp_media,temperatura média do mês; mediana das estações da UF,°C,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_temp_max_media,média das máximas diárias; mediana das estações da UF,°C,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_temp_min_media,média das mínimas diárias; mediana das estações da UF,°C,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_umidade_media,umidade relativa média; mediana das estações da UF,%,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_amplitude_termica_media,média de (máx - mín) diária; mediana das estações da UF,°C,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_dias_sem_chuva,dias do mês com chuva < 1 mm; mediana das estações da UF,dias,INMET,estação × mês,0.34,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_dias_chuva_forte,dias do mês com chuva > 50 mm; mediana das estações da UF,dias,INMET,estação × mês,0.34,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_dias_calor_extremo,dias com máxima acima do limiar de calor; mediana das estações da UF,dias,INMET,estação × mês,0.29,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_max_dias_secos_seguidos,maior sequência de dias secos do mês; mediana das estações da UF,dias,INMET,estação × mês,0.34,Estação-mês com menos de 70 % de dias válidos foi mascarada antes de agregar (T-021) — preferimos o vazio a inventar a média de um mês com 5 dias medidos.
clima_n_estacoes,"quantas estações da UF mediram chuva no mês — controle do crescimento da rede, não uma medida de clima",estações,INMET,estação × mês,0.0,
safra_producao_t_arroz,"estimativa vigente da safra ANUAL de t arroz — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_banana,"estimativa vigente da safra ANUAL de t banana — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_batata_inglesa,"estimativa vigente da safra ANUAL de t batata inglesa — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_cafe,"estimativa vigente da safra ANUAL de t cafe — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_cana_de_acucar,"estimativa vigente da safra ANUAL de t cana de acucar — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_feijao,"estimativa vigente da safra ANUAL de t feijao — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_mandioca,"estimativa vigente da safra ANUAL de t mandioca — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_milho,"estimativa vigente da safra ANUAL de t milho — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_soja,"estimativa vigente da safra ANUAL de t soja — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_tomate,"estimativa vigente da safra ANUAL de t tomate — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_producao_t_trigo,"estimativa vigente da safra ANUAL de t trigo — é estoque/previsão, não produção do mês; 0 = a UF não planta",toneladas,IBGE/LSPA,UF × produto × mês,0.0,
safra_revisao_pct_arroz,revisão % da estimativa de arroz vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,15.61,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_banana,revisão % da estimativa de banana vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,12.02,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_batata_inglesa,revisão % da estimativa de batata inglesa vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,49.52,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_cafe,revisão % da estimativa de cafe vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,23.28,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_cana_de_acucar,revisão % da estimativa de cana de acucar vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,9.05,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_feijao,revisão % da estimativa de feijao vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,8.62,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_mandioca,revisão % da estimativa de mandioca vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,8.62,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_milho,revisão % da estimativa de milho vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,8.62,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_soja,revisão % da estimativa de soja vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,32.52,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_tomate,revisão % da estimativa de tomate vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,17.0,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
safra_revisao_pct_trigo,revisão % da estimativa de trigo vs. o mês anterior da mesma safra (sinal de choque de oferta); winsorizada em ±50 %; NaN em todo janeiro por construção,%,IBGE/LSPA,UF × produto × mês,52.68,"NaN em safra_revisao_pct_* é indefinição, não falta: janeiro não tem mês anterior dentro da mesma safra, e a UF que não planta o produto não tem estimativa para revisar. As colunas safra_producao_t_* não têm nulo porque a ausência estrutural virou 0 tonelada."
seca_severidade_media,severidade média sobre a UF inteira; 0 = sem seca,0-5,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_severidade_media_area_seca,severidade só dentro da área em seca,1-5,ANA (Monitor de Secas),UF × mês,38.17,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_pct_area_S0plus,área em seca fraca ou pior (cumulativa),%,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_pct_area_S1plus,área em seca moderada ou pior (cumulativa),%,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_pct_area_S2plus,área em seca grave ou pior — corte usual de dano,%,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_pct_area_S3plus,área em seca extrema ou pior (cumulativa),%,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_pct_area_S4plus,área em seca excepcional (cumulativa),%,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_meses_consecutivos_S2plus,duração da seca grave em curso,meses,ANA (Monitor de Secas),UF × mês,34.29,"O Monitor de Secas da ANA cobria só o Nordeste em 2015 e foi se expandindo até fechar o país em 2023. NaN = a UF não era monitorada, NÃO 'não houve seca'. Use seca_monitorado como filtro, ou recorte em 2020-01 (90,5 % de cobertura)."
seca_monitorado,"a UF estava no programa da ANA naquele mês — False significa SEM MEDIÇÃO, não ausência de seca",bool,ANA (Monitor de Secas),UF × mês,0.0,
macro_ipca_mm,"IPCA cheio nacional, variação no mês (SGS 433)",%,BCB/SGS,Brasil × mês (broadcast: idêntico em todas as UFs),0.0,
macro_dolar_ptax_medio,dólar PTAX médio do mês (SGS 1),BRL/USD,BCB/SGS,Brasil × mês (broadcast: idêntico em todas as UFs),0.0,
macro_dolar_ptax_fim,dólar PTAX no fim do mês (SGS 1),BRL/USD,BCB/SGS,Brasil × mês (broadcast: idêntico em todas as UFs),0.0,
macro_selic,meta Selic (SGS 432),% a.a.,BCB/SGS,Brasil × mês (broadcast: idêntico em todas as UFs),0.0,
macro_igpm,IGP-M no mês (SGS 189),%,BCB/SGS,Brasil × mês (broadcast: idêntico em todas as UFs),0.0,
ipca_var_alimentacao_relativa,ipca_var_alimentacao menos o IPCA cheio nacional: o excesso da comida sobre a inflação geral,p.p.,IBGE/SIDRA + BCB,UF × mês,0.0,
